鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數_int
松山區,房地(土地+建物),南京東路五段151~180號,8.89,都市：其他:第二種商業區 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100112,土地2建物1車位0,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731106,117.44,3,2,2,有,有,24500000,208617,,0.0,0,,RPQOMLMKLHGGFDA07DA,83.56,0.0,15.34,有,,17
大安區,房地(土地+建物),基隆路二段151~180號,9.85,都市：其他:第三種住宅區。,,,1100207,土地3建物1車位0,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780524,187.04,4,2,2,有,有,32380000,173118,,0.0,0,其他增建;,RPTOMLKKLHGGFFA37DA,101.91,41.52,6.42,有,,17
大安區,房地(土地+建物)+車位,信義路三段91~120號,4.69,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100206,土地2建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960322,61.95,2,1,1,有,有,20580000,332150,塔式車位,0.0,1200000,陽台外推;夾層;其他增建;,RPUNMLPLKHGGFFA87DA,26.84,3.85,0.0,有,,14
中山區,房地(土地+建物)+車位,建國北路三段61~90號,9.71,都市：其他:第三種住宅區。,,,1100225,土地2建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,97.4,0,0,0,無,有,23950000,248597,坡道機械,8.3,1800000,含裝潢費;,RPRNMLLKLHGGFCA96EA,47.3,2.56,6.46,有,,14
松山區,房地(土地+建物),八德路二段391~420號,9.07,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第貳種商業區)。,,,1100117,土地1建物1車位0,三層，四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950823,94.22999999999999,2,1,1,有,有,29000000,307758,,0.0,0,陽台外推;,RPSPMLQLKHGGFDA87EA,60.24,1.77,4.18,有,93.0,13
大安區,房地(土地+建物)+車位,仁愛路四段331~360號,26.85,都市：其他:敦化南北路特定專用區(B區)(依都市計畫說明書圖規定辦理)(原屬第肆種住宅區)。,,,1100109,土地2建物1車位1,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0751224,267.12,5,2,3,有,有,103000000,426532,坡道平面,37.36,5000000,,RPPOMLKLKHGGFFA07EA,178.43,0.52,24.51,有,,17
信義區,房地(土地+建物)+車位,松信路50巷1~30號,63.94,都市：其他:第三種住宅區。,,,1100115,土地1建物1車位3,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021115,422.94,0,0,0,無,有,88500000,294861,坡道平面,138.06,4500000,,RPRNMLMKLHGGFDA17EA,178.98,6.93,15.77,有,,14
信義區,房地(土地+建物)+車位,松信路50巷1~30號,63.41,都市：其他:第三種住宅區。,,,1100118,土地1建物1車位3,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021115,410.74,0,0,0,無,有,88000000,294865,坡道平面,127.56,4500000,,RPSNMLMKLHGGFDA27EA,177.04,6.35,17.07,有,,14
中山區,房地(土地+建物),新生北路三段1~30號,3.82,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第參之貳種住宅區) 但是否在第三種商業區(原屬第參之貳種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,,,1100130,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700122,37.81,1,1,1,有,有,6900000,182491,,0.0,0,,RPPNMLPKLHGGFCA17EA,26.51,0.0,0.0,有,122.0,14
南港區,房地(土地+建物),研究院路一段91~120號,18.54,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100204,土地1建物1車位0,十層，電梯樓梯間,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871109,144.75,2,2,2,有,有,26200000,181002,,0.0,0,,RPXPMLKKLHGGFDA77EA,111.21,3.08,8.53,有,,18
