鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物),經國路336巷31~60號,22.64,都市：其他:住宅區,,,1091220,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951215,115.03,3,2,2,有,有,7500000,65200,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPOSMLTJLHGGFAH28DA,77.58,1.9,3.65,有,
桃園區,房地(土地+建物)+車位,文中三路61~90號,22.44,都市：其他:住宅區,,,1091107,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090527,171.24,3,2,2,有,有,11710000,75437,坡道平面,41.86,1950000,,RPRSMLTJLHGGFAH58DA,74.67,4.08,8.54,有,
桃園區,房地(土地+建物)+車位,正光二街31~60號,15.45,都市：其他:住宅區,,,1090519,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091222,115.09,2,1,1,有,有,8850000,78358,坡道平面,24.48,1750000,,RPVTMLTJLHGGFAH09DA,56.24,1.31,4.24,有,
桃園區,房地(土地+建物)+車位,正光二街31~60號,15.45,都市：其他:住宅區,,,1090331,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091222,115.09,2,1,1,有,有,8480000,75378,坡道平面,24.48,1650000,,RPWTMLTJLHGGFAH56DA,56.24,1.31,4.24,有,
中壢區,房地(土地+建物)+車位,松勤路1~30號,10.73,都市：其他:商業區,,,1091101,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090817,121.35,2,2,1,有,有,6000000,51119,坡道平面,28.43,1250000,,RPVQMLRLJHGGFBH68DA,55.55,0.0,7.8,有,
觀音區,土地,新坡段631~660地號,2020.0,,特定農業區,農牧用地,1100116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,3960,,0.0,0,本買賣標的已有套匯情事,RPWOMLLJKHGGFBH87DA,0.0,0.0,0.0,無,0008
中壢區,房地(土地+建物),三光路121~150號,29.69,都市：其他:住宅區,,,1100130,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761117,101.44,3,2,1,有,無,5800000,57177,,0.0,0,陽台外推;,RPQSMLNJKHGGFBH87DA,93.51,0.0,7.93,無,
中壢區,房地(土地+建物),龍和一街249巷1~30號,22.25,都市：其他:住宅區,,,1100121,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840518,121.74,3,2,2,有,有,5180000,42550,,0.0,0,,RPWOMLSKKHGGFBH68DA,85.72,0.89,9.05,有,0009
觀音區,房地(土地+建物),安和街211~240號,15.49,,工業區,丁種建築用地,1100202,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021213,60.17,2,0,2,有,有,2400000,39887,,0.0,0,,RPPPMLMJLHGGFBH47DA,39.36,0.0,5.61,有,
中壢區,房地(土地+建物)+車位,中園路1~30號,14.9,都市：其他:住宅區,,,1100124,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960301,179.8,4,2,2,有,有,8750000,48665,坡道平面,0.0,0,,RPUQMLNJLHGGFBH18DA,105.97,1.91,4.18,有,
