鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
美濃區,土地,龍肚段6211~6240地號,115.0,,特定農業區,農牧用地,1100302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,1304,,0.0,0,,RPPNMLLKLHGGFKE87DA,0.0,0.0,0.0,無,0056
茄萣區,土地,嘉萣段541~570地號,91.65,都市：其他:商業區,,,1091208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1900000,20731,,0.0,0,未登記建物;,RPUNMLKKLHGGFJE18DA,0.0,0.0,0.0,無,
路竹區,土地,三爺段691~720地號,504.15,,一般農業區,農牧用地,1100222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2598930,5155,,0.0,0,,RPPNMLLKLHGGFJE77DA,0.0,0.0,0.0,無,
路竹區,土地,竹園段781~810地號,277.78,,一般農業區,甲種建築用地,1100209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8402746,30250,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;未登記建物;,RPUNMLLKLHGGFJE28DA,0.0,0.0,0.0,無,
路竹區,土地,竹園段541~570地號,227.73,,鄉村區,乙種建築用地,1100209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6888832,30250,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVNMLLKLHGGFJE38DA,0.0,0.0,0.0,無,
路竹區,土地,環球段631~660地號,929.0,,一般農業區,農牧用地,1100201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2250000,2422,,0.0,0,,RPXNMLLKLHGGFJE58DA,0.0,0.0,0.0,無,
路竹區,土地,中華段1411~1440地號,6206.36,,一般農業區,農牧用地,1100114,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,41590000,6701,,0.0,0,,RPOOMLLKLHGGFJE77DA,0.0,0.0,0.0,無,
路竹區,土地,聖母段31~60地號,1406.27,,一般農業區,丁種建築用地,1100115,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,51048000,36300,,0.0,0,,RPQNMLNJLHGGFJE97DA,0.0,0.0,0.0,無,0057
路竹區,土地,竹園段301~330地號,182.16,,鄉村區,乙種建築用地,1100221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,13175,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLMLKHGGFJE97DA,0.0,0.0,0.0,無,0058
仁武區,房地(土地+建物),八德一路384巷1~30號,73.88,都市：其他:第三種住宅區。,,,1100117,土地3建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0810120,116.14,3,2,3,有,無,5100000,43913,,0.0,0,,RPSNMLTJLHGGFIE68DA,90.59,25.55,0.0,無,
鳥松區,房地(土地+建物),忠誠路41巷1弄1~30號,69.0,都市：其他:第四種住宅區,,,1100118,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0770128,148.54,5,3,3,有,無,6180000,41605,,0.0,0,頂樓加蓋;,RPTOMLTJLHGGFIE88DA,123.39,25.15,0.0,無,
