鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新莊區,房地(土地+建物)+車位,福美街31~60號,19.6,都市：其他:商業區,,,1100103,土地1建物1車位1,二十二層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,191.39,3,2,2,有,無,25900000,155471,坡道平面,38.95,2200000,含裝潢費;含傢俱設備費;,RPOQMLOLKHGGFBF57DA,84.86,1.87,14.61,有,
新莊區,房地(土地+建物)+車位,福美街31~60號,11.02,都市：其他:商業區,,,1091205,土地1建物1車位1,十四層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,126.72,0,0,0,無,無,16200000,158368,坡道平面,38.95,2300000,含裝潢費;含傢俱設備費;,RPPQMLOLKHGGFBF67DA,50.31,4.14,4.71,有,
新莊區,房地(土地+建物)+車位,福美街31~60號,11.02,都市：其他:商業區,,,1091227,土地1建物1車位1,二十二層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,126.72,0,0,0,無,無,15760000,153355,坡道平面,38.95,2300000,含裝潢費;含傢俱設備費;,RPQQMLOLKHGGFBF77DA,50.31,4.14,4.71,有,
新莊區,房地(土地+建物)+車位,福美街31~60號,11.02,都市：其他:商業區,,,1100110,土地1建物1車位1,二十八層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,126.72,0,0,0,無,無,16380000,161559,坡道平面,38.95,2200000,含裝潢費;含傢俱設備費;,RPRQMLOLKHGGFBF87DA,50.31,4.14,4.71,有,
新莊區,房地(土地+建物)+車位,福德三街1~30號,21.17,都市：其他:第二種住宅區,,,1100220,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1010710,152.04000000000002,3,2,2,有,有,18500000,121671,坡道平面,32.33,0,,RPPSMLNLKHGGFBF77DA,69.79,5.83,8.13,有,0012
新莊區,房地(土地+建物),龍安路69巷31~60號,5.98,都市：其他:住宅區,,,1100204,土地1建物1車位0,五層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061205,67.63,2,1,1,有,有,9280000,137217,,0.0,0,,RPQSMLPLKHGGFBF08DA,38.3,1.38,4.42,有,0013
新莊區,土地,公正段61~90地號,96.88,都市：其他:道路用地,,,1100126,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7100000,73287,,0.0,0,,RPUNMLQLKHGGFBF08DA,0.0,0.0,0.0,無,
新莊區,土地,公正段61~90地號,145.05,都市：其他:產業專用區,,,1100126,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,72389,,0.0,0,,RPVNMLQLKHGGFBF18DA,0.0,0.0,0.0,無,0014
林口區,房地(土地+建物)+車位,文化二路二段151~180號,27.93,都市：其他:中心商業區,,,1100209,土地1建物1車位3,四層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1001101,301.9,4,2,3,有,有,23500000,77840,坡道平面,64.56,0,,RPTQMLMJLHGGFBF77DA,150.05,4.03,18.67,有,
林口區,房地(土地+建物)+車位,民族路1~30號,14.92,都市：其他:第五種住宅區,,,1091018,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,130.12,3,2,1,有,有,10970000,100565,坡道平面,39.93,1900000,,RPUOMLNJLHGGFBF77DA,53.3,3.86,3.94,有,
林口區,房地(土地+建物)+車位,民族路1~30號,15.45,都市：其他:第五種住宅區,,,1091214,土地1建物1車位1,一層，見其他登記事項,十三層,住宅大樓(11層含以上有電梯),一般零售業,鋼筋混凝土造,1091201,134.23000000000002,0,0,1,有,有,18320000,175186,坡道平面,39.93,1800000,,RPURMLNJLHGGFBF08DA,59.97,0.0,3.86,有,
林口區,房地(土地+建物)+車位,文化二路一段271~300號,8.81,都市：其他:中心商業區,,,1100203,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,98.16999999999999,1,1,1,有,有,9000000,91678,坡道平面,28.09,0,夾層;,RPVOMLOJLHGGFBF97DA,45.34,2.15,3.99,有,0015
